Fullname: Hlxwguebsc Nmlpvkaf, Faculty: Graduate School of Business, Group: Group288, Avg Grade: 0
Fullname: Zfwircq Smgcdqryfi, Faculty: Faculty of Geography and Geo-information Technology, Group: Group244, Avg Grade: 0
Fullname: Muricos Ivszaoyg, Faculty: Faculty of Computer Science, Group: Group215, Avg Grade: 0
Fullname: Pohnslcxtb Dvaicjbgy, Faculty: Faculty of Creative Industries, Group: Group244, Avg Grade: 0
Fullname: Ihscxedvby Bprvmk, Faculty: Faculty of Law, Group: Group217, Avg Grade: 0
Fullname: Utplbw Gmfjb, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 0
Fullname: Urhjit Armlh, Faculty: Faculty of Humanities, Group: Group288, Avg Grade: 0
Fullname: Wvluhdj Qyowzjban, Faculty: Faculty of World Economy and World Politics, Group: Group215, Avg Grade: 0
Fullname: Uevizodq Gckwvi, Faculty: School of Foreign Languages, Group: Group218, Avg Grade: 0
Fullname: Vocdlqgua Izafbh, Faculty: Faculty of Urban and Regional Development, Group: Group218, Avg Grade: 0
Fullname: Zyxnbvol Hugrcwtb, Faculty: Faculty of World Economy and World Politics, Group: Group217, Avg Grade: 0
Fullname: Yxjtq Idozmtev, Faculty: Faculty of Physics, Group: Group212, Avg Grade: 0
Fullname: Ijlykgncqe Gwvfb, Faculty: Faculty of Urban and Regional Development, Group: Group288, Avg Grade: 0
Fullname: Qohzvpfar Gzocm, Faculty: Faculty of Mathematics, Group: Group213, Avg Grade: 0
Fullname: Zypxh Artdezkf, Faculty: Faculty of Computer Science, Group: Group212, Avg Grade: 0
Fullname: Wtzvdhiq Cxmfnyd, Faculty: Faculty of Chemistry, Group: Group213, Avg Grade: 0
Fullname: Nuwsmoqh Zluijgfby, Faculty: Higher School of Jurisprudence and Administration, Group: Group215, Avg Grade: 0
Fullname: Iylfe Uzpsyqmcfx, Faculty: Faculty of Social Sciences, Group: Group213, Avg Grade: 0
Fullname: Jvicoes Rokdiw, Faculty: Faculty of Creative Industries, Group: Group288, Avg Grade: 0
Fullname: Otrxdhe Hgxkblsjz, Faculty: Lyceum of HSE, Group: Group219, Avg Grade: 0
Fullname: Zymwcukf Cetjpsdgrb, Faculty: Faculty of Geography and Geo-information Technology, Group: Group212, Avg Grade: 0
Fullname: Srnib Yxunfkdth, Faculty: Faculty of Computer Science, Group: Group218, Avg Grade: 0
Fullname: Spjqzlad Hiftlrpwqy, Faculty: Graduate School of Business, Group: Group213, Avg Grade: 0
Fullname: Cfpbh Jclwtn, Faculty: Faculty of Social Sciences, Group: Group233, Avg Grade: 0
Fullname: Oljknqh Nrxtyzb, Faculty: Faculty of Social Sciences, Group: Group218, Avg Grade: 0
Fullname: Tdilbzscp Ontvkmdhb, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group217, Avg Grade: 0
Fullname: Sfycmrjvd Rqcxavy, Faculty: Lyceum of HSE, Group: Group233, Avg Grade: 0
Fullname: Cswtbvaz Fxpyerdmn, Faculty: Faculty of Urban and Regional Development, Group: Group221, Avg Grade: 0
Fullname: Rysbj Mvlpiqrka, Faculty: Faculty of Humanities, Group: Group218, Avg Grade: 0
Fullname: Nzatic Wmblc, Faculty: Faculty of World Economy and World Politics, Group: Group233, Avg Grade: 0
Fullname: Ohezkds Sdero, Faculty: School of Foreign Languages, Group: Group288, Avg Grade: 0
Fullname: Efxjqpgb Oqbcwvatn, Faculty: Faculty of Humanities, Group: Group213, Avg Grade: 0
Fullname: Mvtaqbpg Lxiqjmygbf, Faculty: School of Foreign Languages, Group: Group218, Avg Grade: 0
Fullname: Trwvgku Fcqxoprm, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 0
Fullname: Yakcbrsqex Jmksg, Faculty: International Institute of Economics and Finance, Group: Group218, Avg Grade: 0
Fullname: Nholbuats Asixwkhv, Faculty: Pre-university training faculty, Group: Group213, Avg Grade: 0
Fullname: Iypbrn Ilrmk, Faculty: Faculty of Social Sciences, Group: Group221, Avg Grade: 0
Fullname: Dspyfxzbq Qhtvbcxg, Faculty: Faculty of Physics, Group: Group215, Avg Grade: 0
Fullname: Cpfnkj Twxck, Faculty: Faculty of Mathematics, Group: Group218, Avg Grade: 0
Fullname: Wchfplev Qytndpcux, Faculty: Faculty of Physics, Group: Group218, Avg Grade: 0
Fullname: Lvinkeyr Ztsrgco, Faculty: Faculty of Geography and Geo-information Technology, Group: Group288, Avg Grade: 0
Fullname: Oevcqrxgk Hkzobgdncm, Faculty: Faculty of World Economy and World Politics, Group: Group219, Avg Grade: 0
Fullname: Fzjlbvney Jlhrzfmygt, Faculty: Faculty of Economic Sciences, Group: Group212, Avg Grade: 0
Fullname: Qzntjlpuo Vqdjtkwxf, Faculty: Faculty of Humanities, Group: Group212, Avg Grade: 1
Fullname: Hlsrkbfop Wqimbsaglt, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 1
Fullname: Zkamdclvh Hokcl, Faculty: Faculty of Urban and Regional Development, Group: Group218, Avg Grade: 1
Fullname: Zrtxagwpkq Wgyahfmd, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 1
Fullname: Lzjkbr Lsxdgm, Faculty: International Institute of Economics and Finance, Group: Group244, Avg Grade: 1
Fullname: Fdvozugbt Uiwthgl, Faculty: Faculty of Biology and Biotechnology, Group: Group215, Avg Grade: 1
Fullname: Rtpohlinj Ghufj, Faculty: Lyceum of HSE, Group: Group244, Avg Grade: 1
Fullname: Zdcbmwik Keqzm, Faculty: Faculty of Law, Group: Group212, Avg Grade: 1
Fullname: Keodcvghjs Yubrijfkmg, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 1
Fullname: Ztmuecpvh Nijtlv, Faculty: Lyceum of HSE, Group: Group244, Avg Grade: 1
